role,pair_id,chunk_size_chars,overlap_chars,chunk_id,joint_evidence_preserved,cosine_to_query,pc1,pc2
joint_evidence,wm17,256,128,chunk-ablation-wm17#chunk-010,True,0.71314502,-0.06316671,0.01541424
joint_evidence,wm18,256,128,chunk-ablation-wm18#chunk-011,True,0.84685659,-0.32056242,0.01059796
joint_evidence,wm19,256,128,chunk-ablation-wm19#chunk-011,True,0.55132592,0.13479753,-0.04458658
joint_evidence,wm20,256,128,chunk-ablation-wm20#chunk-012,True,0.67754626,-0.00202139,0.10667317
joint_evidence,wm01,512,0,chunk-ablation-wm01#chunk-000,True,0.59798598,0.12487373,0.02261193
joint_evidence,wm02,512,0,chunk-ablation-wm02#chunk-000,True,0.60870111,0.13159794,0.0502531
joint_evidence,wm03,512,0,chunk-ablation-wm03#chunk-000,True,0.6223523,0.11387661,0.01732733
trigger_fragment,wm04,512,0,chunk-ablation-wm04#chunk-000,False,0.54718024,0.16564292,0.04663867
code_fragment,wm04,512,0,chunk-ablation-wm04#chunk-001,False,0.57095873,-0.14871109,-0.22886908
trigger_fragment,wm05,512,0,chunk-ablation-wm05#chunk-000,False,0.54351795,0.19066483,0.12288864
code_fragment,wm05,512,0,chunk-ablation-wm05#chunk-001,False,0.586689,-0.0934579,-0.31487441
joint_evidence,wm06,512,0,chunk-ablation-wm06#chunk-001,True,0.53611302,0.15607861,0.14865598
joint_evidence,wm07,512,0,chunk-ablation-wm07#chunk-001,True,0.54927534,0.14116693,0.01375333
joint_evidence,wm08,512,0,chunk-ablation-wm08#chunk-001,True,0.56742728,0.12512475,0.07036126
joint_evidence,wm09,512,0,chunk-ablation-wm09#chunk-001,True,0.53607267,0.15988548,0.03588849
joint_evidence,wm10,512,0,chunk-ablation-wm10#chunk-001,True,0.55543399,0.15031306,0.06245571
trigger_fragment,wm11,512,0,chunk-ablation-wm11#chunk-001,False,0.59776044,0.14283429,0.07938672
code_fragment,wm11,512,0,chunk-ablation-wm11#chunk-002,False,0.56739688,-0.07208686,-0.2103228
trigger_fragment,wm12,512,0,chunk-ablation-wm12#chunk-001,False,0.56785327,0.15259378,0.14010814
code_fragment,wm12,512,0,chunk-ablation-wm12#chunk-002,False,0.54165637,-0.12277555,-0.35020697
joint_evidence,wm13,512,0,chunk-ablation-wm13#chunk-002,True,0.4668428,0.17944562,0.18867086
joint_evidence,wm14,512,0,chunk-ablation-wm14#chunk-002,True,0.60897565,0.17828506,0.13225275
joint_evidence,wm15,512,0,chunk-ablation-wm15#chunk-002,True,0.56495273,0.20868397,0.10667264
joint_evidence,wm16,512,0,chunk-ablation-wm16#chunk-002,True,0.59335124,0.16966826,0.08759331
joint_evidence,wm17,512,0,chunk-ablation-wm17#chunk-002,True,0.57821155,0.11920063,0.06469084
trigger_fragment,wm18,512,0,chunk-ablation-wm18#chunk-002,False,0.53005481,0.18566583,0.14239088
code_fragment,wm18,512,0,chunk-ablation-wm18#chunk-003,False,0.61135077,-0.11068392,-0.12194063
trigger_fragment,wm19,512,0,chunk-ablation-wm19#chunk-002,False,0.46849194,0.24347837,0.17465116
code_fragment,wm19,512,0,chunk-ablation-wm19#chunk-003,False,0.57417721,-0.08990261,-0.33366036
joint_evidence,wm20,512,0,chunk-ablation-wm20#chunk-003,True,0.6768589,-0.00090587,0.1075688
joint_evidence,wm01,512,64,chunk-ablation-wm01#chunk-000,True,0.59798598,0.12487373,0.02261193
joint_evidence,wm02,512,64,chunk-ablation-wm02#chunk-000,True,0.60870111,0.13159794,0.0502531
joint_evidence,wm03,512,64,chunk-ablation-wm03#chunk-000,True,0.6223523,0.11387661,0.01732733
trigger_fragment,wm04,512,64,chunk-ablation-wm04#chunk-000,False,0.54718024,0.16564292,0.04663867
code_fragment,wm04,512,64,chunk-ablation-wm04#chunk-001,False,0.58162761,-0.12975678,-0.34540042
joint_evidence,wm05,512,64,chunk-ablation-wm05#chunk-001,True,0.57596743,0.10589555,0.13527553
joint_evidence,wm06,512,64,chunk-ablation-wm06#chunk-001,True,0.56324691,0.1285363,0.1237471
joint_evidence,wm07,512,64,chunk-ablation-wm07#chunk-001,True,0.53661585,0.13680607,0.04168622
joint_evidence,wm08,512,64,chunk-ablation-wm08#chunk-001,True,0.50925994,0.14066938,0.09424174
